Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000064370	mt-Cytb	MT
ENSMUSG00000064368	mt-Nd6	MT
ENSMUSG00000064367	mt-Nd5	MT
ENSMUSG00000064363	mt-Nd4	MT
ENSMUSG00000065947	mt-Nd4l	MT
ENSMUSG00000064360	mt-Nd3	MT
ENSMUSG00000064358	mt-Co3	MT
ENSMUSG00000064357	mt-Atp6	MT
ENSMUSG00000064356	mt-Atp8	MT
ENSMUSG00000064354	mt-Co2	MT
ENSMUSG00000064351	mt-Co1	MT
ENSMUSG00000064345	mt-Nd2	MT
ENSMUSG00000064341	mt-Nd1	MT
ENSMUSG00000035868	Zfp983	17
ENSMUSG00000032735	Ablim3	18
ENSMUSG00000024033	Rsph1	17
ENSMUSG00000079061	Gm11042	12
ENSMUSG00000024958	Gpr137	19
ENSMUSG00000046805	Mpeg1	19
ENSMUSG00000048572	Tmem252	19
ENSMUSG00000037603	Gm5519	19
ENSMUSG00000024800	Rpp30	19
ENSMUSG00000049124	Gm8186	17
ENSMUSG00000095965	Gm17693	X
ENSMUSG00000066178	6030445D17Rik	4
ENSMUSG00000091619	Gm3625	12
ENSMUSG00000095029	Gm36079	13
ENSMUSG00000024669	Cd5	19
ENSMUSG00000034445	Cyb561a3	19
ENSMUSG00000071645	Tut1	19
ENSMUSG00000024084	Qpct	17
ENSMUSG00000074807	Gm10762	2
ENSMUSG00000097704	Gm26741	10
ENSMUSG00000039193	Nlrc4	17
ENSMUSG00000069379	Gm4950	18
ENSMUSG00000017831	Rab5a	17
ENSMUSG00000036568	Bicral	17
ENSMUSG00000036097	Slf2	19
ENSMUSG00000095909	Gm10324	13
ENSMUSG00000079774	Gm13298	GL456350.1
ENSMUSG00000005370	Msh6	17
ENSMUSG00000097602	4930519P11Rik	2
ENSMUSG00000074564	Gm10720	9
ENSMUSG00000078677	Gm10974	7
ENSMUSG00000094799	AC125149.4	GL456210.1
ENSMUSG00000074872	Ctxn2	2
ENSMUSG00000024598	Fbn2	18
ENSMUSG00000071652	Ints5	19
ENSMUSG00000056829	Foxb2	19
ENSMUSG00000024650	Slc22a6	19
ENSMUSG00000029490	Mfsd7a	5
ENSMUSG00000005823	Gpr108	17
ENSMUSG00000059481	Plg	17
ENSMUSG00000024098	Twsg1	17
ENSMUSG00000091585	AC140365.1	JH584299.1
ENSMUSG00000023931	Efhb	17
ENSMUSG00000045019	Acer1	17
ENSMUSG00000094958	3110021N24Rik	4
ENSMUSG00000095474	Cldn34c2	X
ENSMUSG00000041840	Haus1	18
ENSMUSG00000045744	Bricd5	17
ENSMUSG00000024610	Cd74	18
ENSMUSG00000024258	Polr2d	18
ENSMUSG00000095763	AC124606.2	JH584299.1
ENSMUSG00000059408	Mrgprh	17
ENSMUSG00000073789	Gm10577	4
ENSMUSG00000095229	Btbd35f26	X
ENSMUSG00000095879	Gm21764	Y
ENSMUSG00000091449	Gm10269	18
ENSMUSG00000092004	Gm17482	6
ENSMUSG00000024854	Pold4	19
ENSMUSG00000024885	Aldh3b1	19
ENSMUSG00000078160	Gm16503	4
ENSMUSG00000073492	Gm10521	1
ENSMUSG00000054945	Gm9958	5
ENSMUSG00000024907	Gal	19
ENSMUSG00000094346	Gm21746	Y
ENSMUSG00000024256	Adcyap1	17
ENSMUSG00000059326	Csf2ra	19
ENSMUSG00000024082	Ndufaf7	17
ENSMUSG00000041491	Cep78	19
ENSMUSG00000113255	Tes3-ps	13
ENSMUSG00000021388	Aspn	13
ENSMUSG00000067578	Cbln4	2
ENSMUSG00000022555	Dgat1	15
ENSMUSG00000059772	Slx1b	7
ENSMUSG00000039410	Prdm16	4
ENSMUSG00000056197	4931417E11Rik	6
ENSMUSG00000048368	Omd	13
ENSMUSG00000042535	Gtpbp1	15
ENSMUSG00000021385	Ippk	13
ENSMUSG00000070324	Fbxw22	9
ENSMUSG00000028180	Zranb2	3
ENSMUSG00000081512	Gm15821	17
ENSMUSG00000021390	Ogn	13
ENSMUSG00000018411	Mapt	11
ENSMUSG00000024338	Psmb8	17
ENSMUSG00000030707	Coro1a	7
ENSMUSG00000021391	Cenpp	13
ENSMUSG00000038537	Mc3r	2
ENSMUSG00000029649	Pomp	5
ENSMUSG00000043631	Ecm2	13
ENSMUSG00000048310	Pskh1	8
ENSMUSG00000022762	Ncam2	16
ENSMUSG00000049439	Cyp20a1	1
ENSMUSG00000014077	Chp1	2
ENSMUSG00000062687	Cks1brt	8
ENSMUSG00000028186	Uox	3
ENSMUSG00000078926	Cdc20b	13
ENSMUSG00000051952	Olfr371	8
ENSMUSG00000047721	Bola2	7
ENSMUSG00000007833	Aldh16a1	7
ENSMUSG00000028185	Dnase2b	3
ENSMUSG00000031896	Ctrl	8
ENSMUSG00000021760	Gpx8	13
ENSMUSG00000025809	Itgb1	8
ENSMUSG00000075598	Smok3c	5
ENSMUSG00000075214	Olfr1002	2
ENSMUSG00000059182	Skap2	6
ENSMUSG00000020111	Micu1	10
ENSMUSG00000031696	Vps35	8
ENSMUSG00000027495	Fam210b	2
ENSMUSG00000102141	Gm3952	8
ENSMUSG00000025808	Ccdc7a	8
ENSMUSG00000035107	Dcbld2	16
ENSMUSG00000027496	Aurka	2
ENSMUSG00000003423	Pih1d1	7
ENSMUSG00000031697	Orc6	8
ENSMUSG00000003531	Dgcr6	16
ENSMUSG00000021553	Slc28a3	13
ENSMUSG00000022747	St3gal6	16
ENSMUSG00000041258	Zfp236	18
ENSMUSG00000003526	Prodh	16
ENSMUSG00000042942	Greb1l	18
ENSMUSG00000035004	Igsf6	7
ENSMUSG00000086596	Susd5	9
ENSMUSG00000058655	Eif4b	15
ENSMUSG00000030876	Mettl9	7
ENSMUSG00000072952	Gm5878	6
ENSMUSG00000041775	Mapk1ip1	7
ENSMUSG00000019579	Mydgf	17
ENSMUSG00000018865	Sult4a1	15
ENSMUSG00000047094	Ofcc1	13
ENSMUSG00000041769	Ppp2r2d	7
ENSMUSG00000042826	Fgf11	11
ENSMUSG00000023132	Gzma	13
ENSMUSG00000068101	Cenpm	15
ENSMUSG00000030806	Stx1b	7
ENSMUSG00000030805	Stx4a	7
ENSMUSG00000040722	Scamp5	9
ENSMUSG00000033735	Spr	6
ENSMUSG00000030187	Klra2	6
ENSMUSG00000004952	Rasa4	5
ENSMUSG00000029650	Slc46a3	5
ENSMUSG00000035559	Mpv17l2	8
ENSMUSG00000110358	A730009L09Rik	16
ENSMUSG00000017765	Slc12a4	8
ENSMUSG00000031840	Rab3a	8
ENSMUSG00000074062	Fbxw16	9
ENSMUSG00000027498	Cstf1	2
ENSMUSG00000072476	Gm9008	6
ENSMUSG00000009376	Met	6
ENSMUSG00000068099	1500009C09Rik	15
ENSMUSG00000042385	Gzmk	13
ENSMUSG00000033726	Emx1	6
ENSMUSG00000045672	Col27a1	4
ENSMUSG00000038009	Dnajc22	15
ENSMUSG00000075212	Olfr154	2
ENSMUSG00000021314	Amph	13
ENSMUSG00000021687	Scamp1	13
ENSMUSG00000042379	Esm1	13
ENSMUSG00000056018	Ccdc7b	8
ENSMUSG00000029729	Zkscan1	5
ENSMUSG00000035237	Lcat	8
ENSMUSG00000031897	Psmb10	8
ENSMUSG00000017802	Retreg3	11
ENSMUSG00000048385	Scrt1	15
ENSMUSG00000074570	Cass4	2
ENSMUSG00000075211	Olfr1006	2
ENSMUSG00000060780	Lrrtm1	6
ENSMUSG00000027643	Ghrh	2
ENSMUSG00000050603	Olfr1008	2
ENSMUSG00000043226	Olfr1009	2
ENSMUSG00000063063	Ctnna2	6
ENSMUSG00000027502	Rtf2	2
ENSMUSG00000063019	Manbal	2
ENSMUSG00000029782	Tmem209	6
ENSMUSG00000021193	Pitrm1	13
ENSMUSG00000040258	Nxph4	10
ENSMUSG00000074569	Gcnt7	2
ENSMUSG00000051934	Spats2	15
ENSMUSG00000094443	Sgo2b	8
ENSMUSG00000051510	Mafg	11
ENSMUSG00000030188	Magohb	6
ENSMUSG00000025138	Sirt7	11
ENSMUSG00000018868	Pnpla5	15
ENSMUSG00000026615	Eprs	1
ENSMUSG00000032604	Qars	9
ENSMUSG00000021763	BC067074	13
ENSMUSG00000043531	Sorcs1	19
ENSMUSG00000021196	Pfkp	13
ENSMUSG00000022889	Mrpl39	16
ENSMUSG00000032899	Styk1	6
ENSMUSG00000021686	Ap3b1	13
ENSMUSG00000033720	Sfxn5	6
ENSMUSG00000042364	Snx18	13
ENSMUSG00000027646	Src	2
ENSMUSG00000027505	Fam209	2
ENSMUSG00000053626	Tll1	8
ENSMUSG00000072980	Oip5	2
ENSMUSG00000051456	Hspb3	13
ENSMUSG00000027306	Nusap1	2
ENSMUSG00000000869	Il4	11
ENSMUSG00000053552	Ebf4	2
ENSMUSG00000030189	Ybx3	6
ENSMUSG00000018395	Kif3a	11
ENSMUSG00000027931	Npr1	3
ENSMUSG00000022861	Dgkg	16
ENSMUSG00000037852	Cpe	8
ENSMUSG00000037570	Mcrs1	15
ENSMUSG00000037579	Kcnh3	15
ENSMUSG00000116376	AC157566.4	15
ENSMUSG00000053820	Bcl2a1c	9
ENSMUSG00000032431	Crtap	9
ENSMUSG00000035198	Tubg1	11
ENSMUSG00000024454	Hdac3	18
ENSMUSG00000050022	Amz1	5
ENSMUSG00000046982	Tshz1	18
ENSMUSG00000041653	Pnpla3	15
ENSMUSG00000000149	Gna12	5
ENSMUSG00000067786	Nnat	2
ENSMUSG00000022437	Samm50	15
ENSMUSG00000029844	Hoxa1	6
ENSMUSG00000074061	Fbxw19	9
ENSMUSG00000051276	Actrt2	4
ENSMUSG00000075210	Olfr1012	2
ENSMUSG00000067787	Blcap	2
ENSMUSG00000027869	Hsd3b6	3
ENSMUSG00000053287	Olfr1013	2
ENSMUSG00000071302	2610044O15Rik8	8
ENSMUSG00000042043	Tbca	13
ENSMUSG00000059379	Olfr1014	2
ENSMUSG00000039246	Lyplal1	1
ENSMUSG00000041205	Map6d1	16
ENSMUSG00000033850	Olfr1015	2
ENSMUSG00000029651	Mtus2	5
ENSMUSG00000021685	Otp	13
ENSMUSG00000053062	Jam2	16
ENSMUSG00000034990	Otoa	7
ENSMUSG00000031834	Pik3r2	8
ENSMUSG00000051343	Rab11fip5	6
ENSMUSG00000042015	Wdr41	13
ENSMUSG00000068302	Noto	6
ENSMUSG00000022559	Fbxl6	15
ENSMUSG00000022829	Stxbp5l	16
ENSMUSG00000027408	Cpxm1	2
ENSMUSG00000002102	Psmc3	2
ENSMUSG00000059939	9430015G10Rik	4
ENSMUSG00000027649	Ctnnbl1	2
ENSMUSG00000004035	Gstm7	3
ENSMUSG00000022890	Atp5j	16
ENSMUSG00000075209	Olfr1016	2
ENSMUSG00000008976	Gabpa	16
ENSMUSG00000078566	Bnip3	7
ENSMUSG00000002105	Slc39a13	2
ENSMUSG00000037017	Zscan21	5
ENSMUSG00000033706	Smyd5	6
ENSMUSG00000058183	Mmel1	4
ENSMUSG00000031698	Mylk3	8
ENSMUSG00000021684	Pde8b	13
ENSMUSG00000022438	Parvb	15
ENSMUSG00000074060	Fbxw15	9
ENSMUSG00000027409	1700020A23Rik	2
ENSMUSG00000049692	Tmem239	2
ENSMUSG00000100963	Gm28372	2
ENSMUSG00000030008	Pradc1	6
ENSMUSG00000027198	Ext2	2
ENSMUSG00000029059	Fam213b	4
ENSMUSG00000030007	Cct7	6
ENSMUSG00000046637	Ttc34	4
ENSMUSG00000037843	Vstm2l	2
ENSMUSG00000027650	Tti1	2
ENSMUSG00000040310	Alx4	2
ENSMUSG00000039771	Polr2j	5
ENSMUSG00000022560	Slc52a2	15
ENSMUSG00000029703	Lrwd1	5
ENSMUSG00000055254	Ntrk2	13
ENSMUSG00000027651	Rprd1b	2
ENSMUSG00000037820	Tgm2	2
ENSMUSG00000031604	Msmo1	8
ENSMUSG00000001018	Snapin	3
ENSMUSG00000001016	Ilf2	3
ENSMUSG00000078907	Fam186b	15
ENSMUSG00000023007	Prpf40b	15
ENSMUSG00000045007	Tubg2	11
ENSMUSG00000037773	Pced1a	2
ENSMUSG00000030268	Bcat1	6
ENSMUSG00000027001	Dusp19	2
ENSMUSG00000048410	Zfp407	18
ENSMUSG00000027411	Vps16	2
ENSMUSG00000026999	Nup35	2
ENSMUSG00000037813	D630003M21Rik	2
ENSMUSG00000079560	Hoxa3	6
ENSMUSG00000000942	Hoxa4	6
ENSMUSG00000014704	Hoxa2	6
ENSMUSG00000039239	Tgfb2	1
ENSMUSG00000038236	Hoxa7	6
ENSMUSG00000022439	Parvg	15
ENSMUSG00000038253	Hoxa5	6
ENSMUSG00000041995	Zbed3	13
ENSMUSG00000043219	Hoxa6	6
ENSMUSG00000101298	Gm28308	6
ENSMUSG00000052922	Bpi	2
ENSMUSG00000043541	Casc1	6
ENSMUSG00000047013	Fbxo41	6
ENSMUSG00000028164	Manba	3
ENSMUSG00000046321	Hs3st2	7
ENSMUSG00000062760	1810041L15Rik	15
ENSMUSG00000031605	Klhl2	8
ENSMUSG00000021681	Aggf1	13
ENSMUSG00000030263	Lrmp	6
ENSMUSG00000071341	Egr4	6
ENSMUSG00000021359	Tfap2a	13
ENSMUSG00000055745	Rtl6	15
ENSMUSG00000016024	Lbp	2
ENSMUSG00000063810	Alms1	6
ENSMUSG00000017167	Cntnap1	11
ENSMUSG00000056162	Cndp1	18
ENSMUSG00000027305	Ndufaf1	2
ENSMUSG00000016349	Eef1a2	2
ENSMUSG00000044052	Ccr10	11
ENSMUSG00000041460	Cacna2d4	6
